Education,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,TotalSpend,TotalPurchases,TotalChildren,TotalCampaignsAccepted,EnrollmentYear,Marital_Status_Married,Marital_Status_Single,Marital_Status_Together,Marital_Status_Widow
2,0.28894655376703077,0,0,0.30685571899431946,635,88,546,172,88,88,3,8,10,4,0.6928645939696432,0,0,0,0,0,0,1,1.0168681723316564,1.6801762967900862,1.3193399291493733,-1.2643075685916398,-0.43893256174123346,-1.5009813526998232,False,True,False,False
2,-0.2620030035900567,1,1,-0.3839712923541486,11,1,6,2,1,6,2,1,1,2,-0.13142124381493916,0,0,0,0,0,0,0,1.2732638910206036,-0.962202397164591,-1.1558571364272208,1.3951390197158926,-0.43893256174123346,1.4199884511614198,False,True,False,False
2,0.9184230066572083,0,0,-0.7984674991632295,426,49,127,111,21,42,1,8,2,10,-0.5435641627072303,0,0,0,0,0,0,0,0.3331462558277972,0.28254077376122866,0.7982458100806167,-1.2643075685916398,-0.43893256174123346,-0.04049645076920169,False,False,True,False
2,-1.1821831274513344,1,0,-0.7984674991632295,11,4,20,10,3,5,2,2,0,4,0.280721675077352,0,0,0,0,0,0,0,-1.2906932958688682,-0.9189936889615585,-0.8953100768928424,0.0654157255621263,-0.43893256174123346,1.4199884511614198,False,False,True,False
4,0.2961872847650254,1,0,1.5503443394215621,173,43,118,46,27,15,5,5,3,6,-0.13142124381493916,0,0,0,0,0,0,0,-1.034297577179921,-0.3057624071569825,0.5376987505462384,0.0654157255621263,-0.43893256174123346,1.4199884511614198,True,False,False,False
3,0.4933220254846209,0,1,-1.1438810048374635,520,42,98,0,42,14,2,6,4,10,0.280721675077352,0,0,0,0,0,0,0,0.16221577670183246,0.18282837021576914,0.9285193398478059,0.0654157255621263,-0.43893256174123346,-0.04049645076920169,False,False,True,False
2,0.17202042674780152,0,1,-0.5221366946238423,235,65,164,50,49,27,4,7,3,7,0.280721675077352,0,0,0,0,0,0,0,-0.17964518155009707,-0.026567677229695844,0.7982458100806167,0.0654157255621263,-0.43893256174123346,-1.5009813526998232,False,False,False,False
4,-0.8641515362619964,1,0,-0.5912193957586891,76,10,56,3,1,23,2,4,0,4,1.1050075128619343,0,0,0,0,0,0,0,-1.3761585354318504,-0.7262163754403368,-0.6347630173584641,0.0654157255621263,-0.43893256174123346,-0.04049645076920169,True,False,False,False
4,-1.009106299402495,1,0,-1.0402569531351933,14,0,24,3,3,2,1,3,0,2,1.5171504317542255,0,0,0,0,0,0,1,-0.43604090023904424,-0.9306268027085288,-1.1558571364272208,0.0654157255621263,-0.43893256174123346,-0.04049645076920169,False,False,True,False
4,-2.163091962908696,1,1,0.6522692246685535,28,0,6,1,1,13,1,1,0,0,6.050722539569428,1,0,0,0,0,0,0,1.615124849272533,-0.9256411825312558,-1.6769512554959773,1.3951390197158926,1.0347209038044092,1.4199884511614198,False,False,True,False
2,-0.026679246155231505,1,0,-1.3165877576745806,5,5,6,0,2,1,1,1,0,2,0.6928645939696432,0,0,0,0,0,0,0,-1.2052280563058857,-0.9754973843039856,-1.416404195961599,0.0654157255621263,-0.43893256174123346,-0.04049645076920169,True,False,False,False
