Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
XGBoost (Tuned),0.9527,0.9574,0.9474,0.9524,0.9907
Gradient Boosting (Tuned),0.9488,0.9523,0.9447,0.9485,0.9901
Random Forest (Tuned),0.9474,0.9381,0.9579,0.9479,0.9882
XGBoost,0.9474,0.957,0.9368,0.9468,0.9875
Random Forest,0.9501,0.9407,0.9605,0.9505,0.9862
Gradient Boosting,0.9343,0.9388,0.9289,0.9339,0.9848
AdaBoost,0.8975,0.8932,0.9026,0.8979,0.9674
Logistic Regression,0.8922,0.9139,0.8658,0.8892,0.9566
K-Nearest Neighbors,0.8371,0.7678,0.9658,0.8555,0.9221
Decision Tree,0.8817,0.8816,0.8816,0.8816,0.8849
Naive Bayes,0.7057,0.7321,0.6474,0.6872,0.7814
Support Vector Machine,0.6675,0.753,0.4974,0.599,0.7216
